"interaction","cell1","cell2","p-value"
"TGFB3_ACVR1_TGFBR1","Subcutaneous Lymph Node","Brain","0"
"TGFB3_ACVR1_TGFBR1","Thymus","Brain","0"
"TGFB3_ACVR1_TGFBR1","Subcutaneous Lymph Node","Colon","0"
"TGFB3_ACVR1_TGFBR1","Subcutaneous Lymph Node","Gut","0"
"TGFB3_ACVR1_TGFBR1","Bone Marrow","Heart","0.04"
"TGFB3_ACVR1_TGFBR1","Lung","Heart","0.03"
"TGFB3_ACVR1_TGFBR1","Spleen","Heart","0.02"
"TGFB3_ACVR1_TGFBR1","Subcutaneous Lymph Node","Heart","0"
"TGFB3_ACVR1_TGFBR1","Thymus","Heart","0"
"TGFB3_ACVR1_TGFBR1","Subcutaneous Lymph Node","Lamina Propia","0"
"TGFB3_ACVR1_TGFBR1","Subcutaneous Lymph Node","Liver","0"
"TGFB3_ACVR1_TGFBR1","Bone Marrow","Lung","0"
"TGFB3_ACVR1_TGFBR1","Lamina Propia","Lung","0.01"
"TGFB3_ACVR1_TGFBR1","Lung","Lung","0"
"TGFB3_ACVR1_TGFBR1","Lymph Node","Lung","0.02"
"TGFB3_ACVR1_TGFBR1","Spleen","Lung","0"
"TGFB3_ACVR1_TGFBR1","Subcutaneous Lymph Node","Lung","0"
"TGFB3_ACVR1_TGFBR1","Thymus","Lung","0"
"TGFB3_ACVR1_TGFBR1","Lung","Lymph Node","0.04"
"TGFB3_ACVR1_TGFBR1","Spleen","Lymph Node","0.01"
"TGFB3_ACVR1_TGFBR1","Subcutaneous Lymph Node","Lymph Node","0"
"TGFB3_ACVR1_TGFBR1","Thymus","Lymph Node","0"
"TGFB3_ACVR1_TGFBR1","Lung","Peritoneal Cavity","0.03"
"TGFB3_ACVR1_TGFBR1","Spleen","Peritoneal Cavity","0"
"TGFB3_ACVR1_TGFBR1","Subcutaneous Lymph Node","Peritoneal Cavity","0"
"TGFB3_ACVR1_TGFBR1","Thymus","Peritoneal Cavity","0"
"TGFB3_ACVR1_TGFBR1","Subcutaneous Lymph Node","Small Intestine","0"
"TGFB3_ACVR1_TGFBR1","Subcutaneous Lymph Node","Spleen","0"
"TGFB3_ACVR1_TGFBR1","Spleen","Splenic","0.01"
"TGFB3_ACVR1_TGFBR1","Subcutaneous Lymph Node","Splenic","0"
"TGFB3_ACVR1_TGFBR1","Thymus","Splenic","0"
"TGFB3_ACVR1_TGFBR1","Bone Marrow","Subcutaneous Lymph Node","0"
"TGFB3_ACVR1_TGFBR1","Lamina Propia","Subcutaneous Lymph Node","0"
"TGFB3_ACVR1_TGFBR1","Lung","Subcutaneous Lymph Node","0"
"TGFB3_ACVR1_TGFBR1","Lymph Node","Subcutaneous Lymph Node","0.03"
"TGFB3_ACVR1_TGFBR1","Spleen","Subcutaneous Lymph Node","0"
"TGFB3_ACVR1_TGFBR1","Subcutaneous Lymph Node","Subcutaneous Lymph Node","0"
"TGFB3_ACVR1_TGFBR1","Thymus","Subcutaneous Lymph Node","0"
"TGFB3_ACVR1_TGFBR1","Subcutaneous Lymph Node","Thymus","0"
"BMP4_BMPR1A_ACVR2A","Lamina Propia","Adipose Tissue","0"
"BMP4_BMPR1A_ACVR2A","Subcutaneous Lymph Node","Adipose Tissue","0"
"BMP4_BMPR1A_ACVR2A","Lamina Propia","Blood","0"
"BMP4_BMPR1A_ACVR2A","Subcutaneous Lymph Node","Blood","0"
"BMP4_BMPR1A_ACVR2A","Lamina Propia","Bone Marrow","0"
"BMP4_BMPR1A_ACVR2A","Subcutaneous Lymph Node","Bone Marrow","0"
"BMP4_BMPR1A_ACVR2A","Blood","Brain","0.04"
"BMP4_BMPR1A_ACVR2A","Bone Marrow","Brain","0.04"
"BMP4_BMPR1A_ACVR2A","Lamina Propia","Brain","0"
"BMP4_BMPR1A_ACVR2A","Peritoneal Cavity","Brain","0.04"
"BMP4_BMPR1A_ACVR2A","Spleen","Brain","0.04"
"BMP4_BMPR1A_ACVR2A","Subcutaneous Lymph Node","Brain","0"
"BMP4_BMPR1A_ACVR2A","Thymus","Brain","0.04"
"BMP4_BMPR1A_ACVR2A","Lamina Propia","Colon","0"
"BMP4_BMPR1A_ACVR2A","Subcutaneous Lymph Node","Colon","0"
"BMP4_BMPR1A_ACVR2A","Lamina Propia","Gut","0"
"BMP4_BMPR1A_ACVR2A","Subcutaneous Lymph Node","Gut","0"
"BMP4_BMPR1A_ACVR2A","Blood","Heart","0.03"
"BMP4_BMPR1A_ACVR2A","Bone Marrow","Heart","0.03"
"BMP4_BMPR1A_ACVR2A","Lamina Propia","Heart","0"
"BMP4_BMPR1A_ACVR2A","Peritoneal Cavity","Heart","0.04"
"BMP4_BMPR1A_ACVR2A","Spleen","Heart","0.03"
"BMP4_BMPR1A_ACVR2A","Splenic","Heart","0.03"
"BMP4_BMPR1A_ACVR2A","Subcutaneous Lymph Node","Heart","0"
"BMP4_BMPR1A_ACVR2A","Bone Marrow","Lamina Propia","0.01"
"BMP4_BMPR1A_ACVR2A","Lamina Propia","Lamina Propia","0"
"BMP4_BMPR1A_ACVR2A","Peritoneal Cavity","Lamina Propia","0.02"
"BMP4_BMPR1A_ACVR2A","Spleen","Lamina Propia","0.01"
"BMP4_BMPR1A_ACVR2A","Subcutaneous Lymph Node","Lamina Propia","0"
"BMP4_BMPR1A_ACVR2A","Thymus","Lamina Propia","0.01"
"BMP4_BMPR1A_ACVR2A","Lamina Propia","Liver","0"
"BMP4_BMPR1A_ACVR2A","Subcutaneous Lymph Node","Liver","0.01"
"BMP4_BMPR1A_ACVR2A","Lamina Propia","Lung","0"
"BMP4_BMPR1A_ACVR2A","Subcutaneous Lymph Node","Lung","0"
"BMP4_BMPR1A_ACVR2A","Lamina Propia","Lymph Node","0"
"BMP4_BMPR1A_ACVR2A","Subcutaneous Lymph Node","Lymph Node","0"
"BMP4_BMPR1A_ACVR2A","Bone Marrow","Peritoneal Cavity","0.01"
"BMP4_BMPR1A_ACVR2A","Lamina Propia","Peritoneal Cavity","0"
"BMP4_BMPR1A_ACVR2A","Peritoneal Cavity","Peritoneal Cavity","0"
"BMP4_BMPR1A_ACVR2A","Spleen","Peritoneal Cavity","0"
"BMP4_BMPR1A_ACVR2A","Subcutaneous Lymph Node","Peritoneal Cavity","0"
"BMP4_BMPR1A_ACVR2A","Thymus","Peritoneal Cavity","0"
"BMP4_BMPR1A_ACVR2A","Blood","Small Intestine","0.04"
"BMP4_BMPR1A_ACVR2A","Bone Marrow","Small Intestine","0.01"
"BMP4_BMPR1A_ACVR2A","Lamina Propia","Small Intestine","0"
"BMP4_BMPR1A_ACVR2A","Peritoneal Cavity","Small Intestine","0.01"
"BMP4_BMPR1A_ACVR2A","Spleen","Small Intestine","0.01"
"BMP4_BMPR1A_ACVR2A","Splenic","Small Intestine","0.02"
"BMP4_BMPR1A_ACVR2A","Subcutaneous Lymph Node","Small Intestine","0"
"BMP4_BMPR1A_ACVR2A","Thymus","Small Intestine","0.01"
"BMP4_BMPR1A_ACVR2A","Lamina Propia","Spleen","0"
"BMP4_BMPR1A_ACVR2A","Subcutaneous Lymph Node","Spleen","0"
"BMP4_BMPR1A_ACVR2A","Lamina Propia","Splenic","0"
"BMP4_BMPR1A_ACVR2A","Subcutaneous Lymph Node","Splenic","0"
"BMP4_BMPR1A_ACVR2A","Blood","Subcutaneous Lymph Node","0.02"
"BMP4_BMPR1A_ACVR2A","Bone Marrow","Subcutaneous Lymph Node","0"
"BMP4_BMPR1A_ACVR2A","Lamina Propia","Subcutaneous Lymph Node","0"
"BMP4_BMPR1A_ACVR2A","Lung","Subcutaneous Lymph Node","0.01"
"BMP4_BMPR1A_ACVR2A","Lymph Node","Subcutaneous Lymph Node","0.02"
"BMP4_BMPR1A_ACVR2A","Peritoneal Cavity","Subcutaneous Lymph Node","0"
"BMP4_BMPR1A_ACVR2A","Spleen","Subcutaneous Lymph Node","0"
"BMP4_BMPR1A_ACVR2A","Splenic","Subcutaneous Lymph Node","0"
"BMP4_BMPR1A_ACVR2A","Subcutaneous Lymph Node","Subcutaneous Lymph Node","0"
"BMP4_BMPR1A_ACVR2A","Thymus","Subcutaneous Lymph Node","0"
"BMP4_BMPR1A_ACVR2A","Lamina Propia","Thymus","0"
"BMP4_BMPR1A_ACVR2A","Subcutaneous Lymph Node","Thymus","0"
"BMP4_BMPR1A_ACVR2B","Blood","Adipose Tissue","0.04"
"BMP4_BMPR1A_ACVR2B","Lamina Propia","Adipose Tissue","0"
"BMP4_BMPR1A_ACVR2B","Subcutaneous Lymph Node","Adipose Tissue","0"
"BMP4_BMPR1A_ACVR2B","Lamina Propia","Blood","0"
"BMP4_BMPR1A_ACVR2B","Subcutaneous Lymph Node","Blood","0"
"BMP4_BMPR1A_ACVR2B","Lamina Propia","Bone Marrow","0"
"BMP4_BMPR1A_ACVR2B","Subcutaneous Lymph Node","Bone Marrow","0"
"BMP4_BMPR1A_ACVR2B","Blood","Brain","0.04"
"BMP4_BMPR1A_ACVR2B","Bone Marrow","Brain","0"
"BMP4_BMPR1A_ACVR2B","Lamina Propia","Brain","0"
"BMP4_BMPR1A_ACVR2B","Lung","Brain","0.02"
"BMP4_BMPR1A_ACVR2B","Lymph Node","Brain","0.01"
"BMP4_BMPR1A_ACVR2B","Peritoneal Cavity","Brain","0"
"BMP4_BMPR1A_ACVR2B","Spleen","Brain","0"
"BMP4_BMPR1A_ACVR2B","Splenic","Brain","0"
"BMP4_BMPR1A_ACVR2B","Subcutaneous Lymph Node","Brain","0"
"BMP4_BMPR1A_ACVR2B","Thymus","Brain","0"
"BMP4_BMPR1A_ACVR2B","Lamina Propia","Colon","0"
"BMP4_BMPR1A_ACVR2B","Subcutaneous Lymph Node","Colon","0"
"BMP4_BMPR1A_ACVR2B","Lamina Propia","Gut","0"
"BMP4_BMPR1A_ACVR2B","Subcutaneous Lymph Node","Gut","0.01"
"BMP4_BMPR1A_ACVR2B","Lamina Propia","Heart","0"
"BMP4_BMPR1A_ACVR2B","Subcutaneous Lymph Node","Heart","0"
"BMP4_BMPR1A_ACVR2B","Lamina Propia","Lamina Propia","0"
"BMP4_BMPR1A_ACVR2B","Subcutaneous Lymph Node","Lamina Propia","0"
"BMP4_BMPR1A_ACVR2B","Lamina Propia","Liver","0"
"BMP4_BMPR1A_ACVR2B","Subcutaneous Lymph Node","Liver","0.01"
"BMP4_BMPR1A_ACVR2B","Lamina Propia","Lung","0"
"BMP4_BMPR1A_ACVR2B","Subcutaneous Lymph Node","Lung","0"
"BMP4_BMPR1A_ACVR2B","Lamina Propia","Lymph Node","0"
"BMP4_BMPR1A_ACVR2B","Subcutaneous Lymph Node","Lymph Node","0"
"BMP4_BMPR1A_ACVR2B","Bone Marrow","Peritoneal Cavity","0"
"BMP4_BMPR1A_ACVR2B","Lamina Propia","Peritoneal Cavity","0"
"BMP4_BMPR1A_ACVR2B","Peritoneal Cavity","Peritoneal Cavity","0"
"BMP4_BMPR1A_ACVR2B","Spleen","Peritoneal Cavity","0"
"BMP4_BMPR1A_ACVR2B","Splenic","Peritoneal Cavity","0.01"
"BMP4_BMPR1A_ACVR2B","Subcutaneous Lymph Node","Peritoneal Cavity","0"
"BMP4_BMPR1A_ACVR2B","Thymus","Peritoneal Cavity","0"
"BMP4_BMPR1A_ACVR2B","Lamina Propia","Small Intestine","0"
"BMP4_BMPR1A_ACVR2B","Subcutaneous Lymph Node","Small Intestine","0"
"BMP4_BMPR1A_ACVR2B","Lamina Propia","Spleen","0"
"BMP4_BMPR1A_ACVR2B","Subcutaneous Lymph Node","Spleen","0"
"BMP4_BMPR1A_ACVR2B","Lamina Propia","Splenic","0"
"BMP4_BMPR1A_ACVR2B","Subcutaneous Lymph Node","Splenic","0"
"BMP4_BMPR1A_ACVR2B","Blood","Subcutaneous Lymph Node","0.02"
"BMP4_BMPR1A_ACVR2B","Bone Marrow","Subcutaneous Lymph Node","0"
"BMP4_BMPR1A_ACVR2B","Lamina Propia","Subcutaneous Lymph Node","0"
"BMP4_BMPR1A_ACVR2B","Lung","Subcutaneous Lymph Node","0.01"
"BMP4_BMPR1A_ACVR2B","Lymph Node","Subcutaneous Lymph Node","0.01"
"BMP4_BMPR1A_ACVR2B","Peritoneal Cavity","Subcutaneous Lymph Node","0"
"BMP4_BMPR1A_ACVR2B","Spleen","Subcutaneous Lymph Node","0"
"BMP4_BMPR1A_ACVR2B","Splenic","Subcutaneous Lymph Node","0"
"BMP4_BMPR1A_ACVR2B","Subcutaneous Lymph Node","Subcutaneous Lymph Node","0"
"BMP4_BMPR1A_ACVR2B","Thymus","Subcutaneous Lymph Node","0"
"BMP4_BMPR1A_ACVR2B","Lamina Propia","Thymus","0"
"BMP4_BMPR1A_ACVR2B","Subcutaneous Lymph Node","Thymus","0"
"BMP4_BMPR1A_BMPR2","Lamina Propia","Adipose Tissue","0"
"BMP4_BMPR1A_BMPR2","Subcutaneous Lymph Node","Adipose Tissue","0"
"BMP4_BMPR1A_BMPR2","Lamina Propia","Blood","0"
"BMP4_BMPR1A_BMPR2","Subcutaneous Lymph Node","Blood","0"
"BMP4_BMPR1A_BMPR2","Lamina Propia","Bone Marrow","0"
"BMP4_BMPR1A_BMPR2","Subcutaneous Lymph Node","Bone Marrow","0"
"BMP4_BMPR1A_BMPR2","Bone Marrow","Brain","0.04"
"BMP4_BMPR1A_BMPR2","Lamina Propia","Brain","0"
"BMP4_BMPR1A_BMPR2","Peritoneal Cavity","Brain","0.04"
"BMP4_BMPR1A_BMPR2","Spleen","Brain","0.04"
"BMP4_BMPR1A_BMPR2","Subcutaneous Lymph Node","Brain","0"
"BMP4_BMPR1A_BMPR2","Thymus","Brain","0.04"
"BMP4_BMPR1A_BMPR2","Lamina Propia","Colon","0"
"BMP4_BMPR1A_BMPR2","Subcutaneous Lymph Node","Colon","0"
"BMP4_BMPR1A_BMPR2","Lamina Propia","Gut","0.02"
"BMP4_BMPR1A_BMPR2","Subcutaneous Lymph Node","Gut","0.01"
"BMP4_BMPR1A_BMPR2","Blood","Heart","0.01"
"BMP4_BMPR1A_BMPR2","Bone Marrow","Heart","0.03"
"BMP4_BMPR1A_BMPR2","Lamina Propia","Heart","0"
"BMP4_BMPR1A_BMPR2","Lung","Heart","0.04"
"BMP4_BMPR1A_BMPR2","Peritoneal Cavity","Heart","0.03"
"BMP4_BMPR1A_BMPR2","Small Intestine","Heart","0.04"
"BMP4_BMPR1A_BMPR2","Spleen","Heart","0.03"
"BMP4_BMPR1A_BMPR2","Splenic","Heart","0.03"
"BMP4_BMPR1A_BMPR2","Subcutaneous Lymph Node","Heart","0"
"BMP4_BMPR1A_BMPR2","Thymus","Heart","0.03"
"BMP4_BMPR1A_BMPR2","Lamina Propia","Lamina Propia","0"
"BMP4_BMPR1A_BMPR2","Subcutaneous Lymph Node","Lamina Propia","0"
"BMP4_BMPR1A_BMPR2","Lamina Propia","Liver","0"
"BMP4_BMPR1A_BMPR2","Subcutaneous Lymph Node","Liver","0.01"
"BMP4_BMPR1A_BMPR2","Lamina Propia","Lung","0"
"BMP4_BMPR1A_BMPR2","Subcutaneous Lymph Node","Lung","0"
"BMP4_BMPR1A_BMPR2","Lamina Propia","Lymph Node","0"
"BMP4_BMPR1A_BMPR2","Subcutaneous Lymph Node","Lymph Node","0"
"BMP4_BMPR1A_BMPR2","Blood","Peritoneal Cavity","0.03"
"BMP4_BMPR1A_BMPR2","Bone Marrow","Peritoneal Cavity","0"
"BMP4_BMPR1A_BMPR2","Lamina Propia","Peritoneal Cavity","0"
"BMP4_BMPR1A_BMPR2","Lung","Peritoneal Cavity","0.04"
"BMP4_BMPR1A_BMPR2","Lymph Node","Peritoneal Cavity","0.04"
"BMP4_BMPR1A_BMPR2","Peritoneal Cavity","Peritoneal Cavity","0"
"BMP4_BMPR1A_BMPR2","Spleen","Peritoneal Cavity","0"
"BMP4_BMPR1A_BMPR2","Splenic","Peritoneal Cavity","0.01"
"BMP4_BMPR1A_BMPR2","Subcutaneous Lymph Node","Peritoneal Cavity","0"
"BMP4_BMPR1A_BMPR2","Thymus","Peritoneal Cavity","0"
"BMP4_BMPR1A_BMPR2","Lamina Propia","Small Intestine","0"
"BMP4_BMPR1A_BMPR2","Subcutaneous Lymph Node","Small Intestine","0"
"BMP4_BMPR1A_BMPR2","Lamina Propia","Spleen","0"
"BMP4_BMPR1A_BMPR2","Subcutaneous Lymph Node","Spleen","0"
"BMP4_BMPR1A_BMPR2","Lamina Propia","Splenic","0"
"BMP4_BMPR1A_BMPR2","Subcutaneous Lymph Node","Splenic","0"
"BMP4_BMPR1A_BMPR2","Blood","Subcutaneous Lymph Node","0.01"
"BMP4_BMPR1A_BMPR2","Bone Marrow","Subcutaneous Lymph Node","0"
"BMP4_BMPR1A_BMPR2","Lamina Propia","Subcutaneous Lymph Node","0"
"BMP4_BMPR1A_BMPR2","Liver","Subcutaneous Lymph Node","0.04"
"BMP4_BMPR1A_BMPR2","Lung","Subcutaneous Lymph Node","0.01"
"BMP4_BMPR1A_BMPR2","Lymph Node","Subcutaneous Lymph Node","0.01"
"BMP4_BMPR1A_BMPR2","Peritoneal Cavity","Subcutaneous Lymph Node","0"
"BMP4_BMPR1A_BMPR2","Small Intestine","Subcutaneous Lymph Node","0.04"
"BMP4_BMPR1A_BMPR2","Spleen","Subcutaneous Lymph Node","0"
"BMP4_BMPR1A_BMPR2","Splenic","Subcutaneous Lymph Node","0"
"BMP4_BMPR1A_BMPR2","Subcutaneous Lymph Node","Subcutaneous Lymph Node","0"
"BMP4_BMPR1A_BMPR2","Thymus","Subcutaneous Lymph Node","0"
"BMP4_BMPR1A_BMPR2","Lamina Propia","Thymus","0"
"BMP4_BMPR1A_BMPR2","Subcutaneous Lymph Node","Thymus","0"
"BMP4_BMPR1B_ACVR2A","Lamina Propia","Adipose Tissue","0"
"BMP4_BMPR1B_ACVR2A","Subcutaneous Lymph Node","Adipose Tissue","0"
"BMP4_BMPR1B_ACVR2A","Lamina Propia","Blood","0"
"BMP4_BMPR1B_ACVR2A","Spleen","Blood","0.04"
"BMP4_BMPR1B_ACVR2A","Subcutaneous Lymph Node","Blood","0"
"BMP4_BMPR1B_ACVR2A","Lamina Propia","Bone Marrow","0"
"BMP4_BMPR1B_ACVR2A","Subcutaneous Lymph Node","Bone Marrow","0"
"BMP4_BMPR1B_ACVR2A","Lamina Propia","Brain","0"
"BMP4_BMPR1B_ACVR2A","Subcutaneous Lymph Node","Brain","0"
"BMP4_BMPR1B_ACVR2A","Lamina Propia","Colon","0"
"BMP4_BMPR1B_ACVR2A","Subcutaneous Lymph Node","Colon","0"
"BMP4_BMPR1B_ACVR2A","Lamina Propia","Gut","0"
"BMP4_BMPR1B_ACVR2A","Subcutaneous Lymph Node","Gut","0"
"BMP4_BMPR1B_ACVR2A","Lamina Propia","Heart","0"
"BMP4_BMPR1B_ACVR2A","Subcutaneous Lymph Node","Heart","0"
"BMP4_BMPR1B_ACVR2A","Blood","Lamina Propia","0.02"
"BMP4_BMPR1B_ACVR2A","Bone Marrow","Lamina Propia","0"
"BMP4_BMPR1B_ACVR2A","Lamina Propia","Lamina Propia","0"
"BMP4_BMPR1B_ACVR2A","Lung","Lamina Propia","0.04"
"BMP4_BMPR1B_ACVR2A","Peritoneal Cavity","Lamina Propia","0"
"BMP4_BMPR1B_ACVR2A","Spleen","Lamina Propia","0"
"BMP4_BMPR1B_ACVR2A","Splenic","Lamina Propia","0.01"
"BMP4_BMPR1B_ACVR2A","Subcutaneous Lymph Node","Lamina Propia","0"
"BMP4_BMPR1B_ACVR2A","Thymus","Lamina Propia","0"
"BMP4_BMPR1B_ACVR2A","Lamina Propia","Liver","0"
"BMP4_BMPR1B_ACVR2A","Subcutaneous Lymph Node","Liver","0"
"BMP4_BMPR1B_ACVR2A","Lamina Propia","Lung","0"
"BMP4_BMPR1B_ACVR2A","Subcutaneous Lymph Node","Lung","0"
"BMP4_BMPR1B_ACVR2A","Bone Marrow","Lymph Node","0"
"BMP4_BMPR1B_ACVR2A","Lamina Propia","Lymph Node","0"
"BMP4_BMPR1B_ACVR2A","Peritoneal Cavity","Lymph Node","0"
"BMP4_BMPR1B_ACVR2A","Spleen","Lymph Node","0"
"BMP4_BMPR1B_ACVR2A","Splenic","Lymph Node","0.02"
"BMP4_BMPR1B_ACVR2A","Subcutaneous Lymph Node","Lymph Node","0"
"BMP4_BMPR1B_ACVR2A","Thymus","Lymph Node","0.01"
"BMP4_BMPR1B_ACVR2A","Lamina Propia","Peritoneal Cavity","0"
"BMP4_BMPR1B_ACVR2A","Subcutaneous Lymph Node","Peritoneal Cavity","0"
"BMP4_BMPR1B_ACVR2A","Blood","Small Intestine","0.04"
"BMP4_BMPR1B_ACVR2A","Bone Marrow","Small Intestine","0"
"BMP4_BMPR1B_ACVR2A","Lamina Propia","Small Intestine","0"
"BMP4_BMPR1B_ACVR2A","Lymph Node","Small Intestine","0.04"
"BMP4_BMPR1B_ACVR2A","Peritoneal Cavity","Small Intestine","0"
"BMP4_BMPR1B_ACVR2A","Spleen","Small Intestine","0"
"BMP4_BMPR1B_ACVR2A","Splenic","Small Intestine","0.01"
"BMP4_BMPR1B_ACVR2A","Subcutaneous Lymph Node","Small Intestine","0"
"BMP4_BMPR1B_ACVR2A","Thymus","Small Intestine","0"
"BMP4_BMPR1B_ACVR2A","Lamina Propia","Spleen","0"
"BMP4_BMPR1B_ACVR2A","Subcutaneous Lymph Node","Spleen","0"
"BMP4_BMPR1B_ACVR2A","Lamina Propia","Splenic","0"
"BMP4_BMPR1B_ACVR2A","Subcutaneous Lymph Node","Splenic","0"
"BMP4_BMPR1B_ACVR2A","Blood","Subcutaneous Lymph Node","0.04"
"BMP4_BMPR1B_ACVR2A","Bone Marrow","Subcutaneous Lymph Node","0"
"BMP4_BMPR1B_ACVR2A","Lamina Propia","Subcutaneous Lymph Node","0"
"BMP4_BMPR1B_ACVR2A","Peritoneal Cavity","Subcutaneous Lymph Node","0"
"BMP4_BMPR1B_ACVR2A","Spleen","Subcutaneous Lymph Node","0"
"BMP4_BMPR1B_ACVR2A","Splenic","Subcutaneous Lymph Node","0.01"
"BMP4_BMPR1B_ACVR2A","Subcutaneous Lymph Node","Subcutaneous Lymph Node","0"
"BMP4_BMPR1B_ACVR2A","Thymus","Subcutaneous Lymph Node","0"
"BMP4_BMPR1B_ACVR2A","Lamina Propia","Thymus","0"
"BMP4_BMPR1B_ACVR2A","Subcutaneous Lymph Node","Thymus","0"
"BMP4_BMPR1B_ACVR2B","Lamina Propia","Adipose Tissue","0"
"BMP4_BMPR1B_ACVR2B","Subcutaneous Lymph Node","Adipose Tissue","0"
"BMP4_BMPR1B_ACVR2B","Bone Marrow","Blood","0.03"
"BMP4_BMPR1B_ACVR2B","Lamina Propia","Blood","0"
