"","interaction_name","pathway_name","ligand","receptor","agonist","antagonist","co_A_receptor","co_I_receptor","evidence","annotation","interaction_name_2"
"BMP8B_BMPR1A_ACVR2B","BMP8B_BMPR1A_ACVR2B","BMP","Bmp8b","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8b  - (Bmpr1a+Acvr2b)"
"BMP8B_BMPR1A_BMPR2","BMP8B_BMPR1A_BMPR2","BMP","Bmp8b","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8b  - (Bmpr1a+Bmpr2)"
"BMP8B_BMPR1B_ACVR2B","BMP8B_BMPR1B_ACVR2B","BMP","Bmp8b","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8b  - (Bmpr1b+Acvr2b)"
"BMP8B_BMPR1B_BMPR2","BMP8B_BMPR1B_BMPR2","BMP","Bmp8b","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8b  - (Bmpr1b+Bmpr2)"
"GDF9_ACVR1B_BMPR2","GDF9_ACVR1B_BMPR2","GDF","Gdf9","ACVR1B_BMPR2","","","","","KEGG: mmu04350","Secreted Signaling","Gdf9  - (Acvr1b+Bmpr2)"
"GDF11_TGFBR1_ACVR2A","GDF11_TGFBR1_ACVR2A","GDF","Gdf11","TGFBR1_ACVR2A","","","","","KEGG: mmu04350","Secreted Signaling","Gdf11  - (Tgfbr1+Acvr2a)"
"GDF11_TGFBR1_ACVR2B","GDF11_TGFBR1_ACVR2B","GDF","Gdf11","TGFBR1_ACVR2B","","","","","KEGG: mmu04350","Secreted Signaling","Gdf11  - (Tgfbr1+Acvr2b)"
"GDF11_ACVR1B_ACVR2B","GDF11_ACVR1B_ACVR2B","GDF","Gdf11","ACVR1B_ACVR2B","","","","","KEGG: mmu04350","Secreted Signaling","Gdf11  - (Acvr1b+Acvr2b)"
"PSPN_GFRA4","PSPN_GFRA4","GDNF","Pspn","GFRA4_RET","","","","","PMID: 11544105","Secreted Signaling","Pspn  - Gfra4"
"NODAL_ACVR1B_ACVR2A","NODAL_ACVR1B_ACVR2A","NODAL","Nodal","ACVR1B_ACVR2A_CFC1","NODAL agonist","NODAL antagonist","","","KEGG: mmu04350; PMID: 17287255","Secreted Signaling","Nodal  - (Acvr1b+Acvr2a)"
"NODAL_ACVR1C_ACVR2A","NODAL_ACVR1C_ACVR2A","NODAL","Nodal","ACVR1C_ACVR2A_CFC1","NODAL agonist","NODAL antagonist","","","KEGG: mmu04350; PMID: 17287255","Secreted Signaling","Nodal  - (Acvr1c+Acvr2a)"
"NODAL_ACVR1B_ACVR2B","NODAL_ACVR1B_ACVR2B","NODAL","Nodal","ACVR1B_ACVR2B_CFC1","NODAL agonist","NODAL antagonist","","","KEGG: mmu04350; PMID: 17287255","Secreted Signaling","Nodal  - (Acvr1b+Acvr2b)"
"NODAL_ACVR1C_ACVR2B","NODAL_ACVR1C_ACVR2B","NODAL","Nodal","ACVR1C_ACVR2B_CFC1","NODAL agonist","NODAL antagonist","","","KEGG: mmu04350; PMID: 17287255","Secreted Signaling","Nodal  - (Acvr1c+Acvr2b)"
"GDF3_ACVR1B_ACVR2A","GDF3_ACVR1B_ACVR2A","NODAL","Gdf3","ACVR1B_ACVR2A_CFC1","NODAL agonist","NODAL antagonist","","","KEGG: mmu04350; PMID: 17287255","Secreted Signaling","Gdf3  - (Acvr1b+Acvr2a)"
"GDF3_ACVR1B_ACVR2B","GDF3_ACVR1B_ACVR2B","NODAL","Gdf3","ACVR1B_ACVR2B_CFC1","NODAL agonist","NODAL antagonist","","","KEGG: mmu04350; PMID: 17287255","Secreted Signaling","Gdf3  - (Acvr1b+Acvr2b)"
"GDF3_ACVR1C_ACVR2A","GDF3_ACVR1C_ACVR2A","NODAL","Gdf3","ACVR1C_ACVR2A_CFC1","NODAL agonist","NODAL antagonist","","","KEGG: mmu04350; PMID: 17287255","Secreted Signaling","Gdf3  - (Acvr1c+Acvr2a)"
"GDF3_ACVR1C_ACVR2B","GDF3_ACVR1C_ACVR2B","NODAL","Gdf3","ACVR1C_ACVR2B_CFC1","NODAL agonist","NODAL antagonist","","","KEGG: mmu04350; PMID: 17287255","Secreted Signaling","Gdf3  - (Acvr1c+Acvr2b)"
"INHBA_ACVR1B_ACVR2A","INHBA_ACVR1B_ACVR2A","ACTIVIN","Inhba","ACVR1B_ACVR2A","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","KEGG: mmu04350","Secreted Signaling","Inhba  - (Acvr1b+Acvr2a)"
"INHBA_ACVR1B_ACVR2B","INHBA_ACVR1B_ACVR2B","ACTIVIN","Inhba","ACVR1B_ACVR2B","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","KEGG: mmu04350","Secreted Signaling","Inhba  - (Acvr1b+Acvr2b)"
"INHBABB_ACVR1B_ACVR2A","INHBABB_ACVR1B_ACVR2A","ACTIVIN","Activin AB","ACVR1B_ACVR2A","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","PMID: 2457849; PMID: 22991378","Secreted Signaling","Inhbabb  - (Acvr1b+Acvr2a)"
"INHBABB_ACVR1B_ACVR2B","INHBABB_ACVR1B_ACVR2B","ACTIVIN","Activin AB","ACVR1B_ACVR2B","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","PMID: 2457849; PMID: 22991378","Secreted Signaling","Inhbabb  - (Acvr1b+Acvr2b)"
"INHBABB_ACVR1C_ACVR2A","INHBABB_ACVR1C_ACVR2A","ACTIVIN","Activin AB","ACVR1C_ACVR2A","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","PMID: 2457849; PMID: 22991378","Secreted Signaling","Inhbabb  - (Acvr1c+Acvr2a)"
"INHB_ACVR1C_ACVR2B","INHB_ACVR1C_ACVR2B","ACTIVIN","Activin AB","ACVR1C_ACVR2B","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","PMID: 2457849; PMID: 22991378","Secreted Signaling","Inhb  - (Acvr1c+Acvr2b)"
"WNT10A_FZD1_LRP5","WNT10A_FZD1_LRP5","WNT","Wnt10a","FZD1_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10a  - (Fzd1+Lrp5)"
"WNT10A_FZD10_LRP5","WNT10A_FZD10_LRP5","WNT","Wnt10a","FZD10_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10a  - (Fzd10+Lrp5)"
"WNT10A_FZD2_LRP5","WNT10A_FZD2_LRP5","WNT","Wnt10a","FZD2_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10a  - (Fzd2+Lrp5)"
"WNT10A_FZD3_LRP5","WNT10A_FZD3_LRP5","WNT","Wnt10a","FZD3_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10a  - (Fzd3+Lrp5)"
"WNT10A_FZD4_LRP5","WNT10A_FZD4_LRP5","WNT","Wnt10a","FZD4_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10a  - (Fzd4+Lrp5)"
"WNT10A_FZD5_LRP5","WNT10A_FZD5_LRP5","WNT","Wnt10a","FZD5_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10a  - (Fzd5+Lrp5)"
"WNT10A_FZD6_LRP5","WNT10A_FZD6_LRP5","WNT","Wnt10a","FZD6_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10a  - (Fzd6+Lrp5)"
"WNT10A_FZD7_LRP5","WNT10A_FZD7_LRP5","WNT","Wnt10a","FZD7_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10a  - (Fzd7+Lrp5)"
"WNT10A_FZD8_LRP5","WNT10A_FZD8_LRP5","WNT","Wnt10a","FZD8_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10a  - (Fzd8+Lrp5)"
"WNT10A_FZD9_LRP5","WNT10A_FZD9_LRP5","WNT","Wnt10a","FZD9_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10a  - (Fzd9+Lrp5)"
"WNT3_FZD1_LRP5","WNT3_FZD1_LRP5","WNT","Wnt3","FZD1_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt3  - (Fzd1+Lrp5)"
"WNT3_FZD10_LRP5","WNT3_FZD10_LRP5","WNT","Wnt3","FZD10_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt3  - (Fzd10+Lrp5)"
"WNT3_FZD2_LRP5","WNT3_FZD2_LRP5","WNT","Wnt3","FZD2_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt3  - (Fzd2+Lrp5)"
"WNT3_FZD3_LRP5","WNT3_FZD3_LRP5","WNT","Wnt3","FZD3_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt3  - (Fzd3+Lrp5)"
"WNT3_FZD4_LRP5","WNT3_FZD4_LRP5","WNT","Wnt3","FZD4_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt3  - (Fzd4+Lrp5)"
"WNT3_FZD5_LRP5","WNT3_FZD5_LRP5","WNT","Wnt3","FZD5_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt3  - (Fzd5+Lrp5)"
"WNT3_FZD6_LRP5","WNT3_FZD6_LRP5","WNT","Wnt3","FZD6_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt3  - (Fzd6+Lrp5)"
"WNT3_FZD7_LRP5","WNT3_FZD7_LRP5","WNT","Wnt3","FZD7_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt3  - (Fzd7+Lrp5)"
"WNT3_FZD8_LRP5","WNT3_FZD8_LRP5","WNT","Wnt3","FZD8_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt3  - (Fzd8+Lrp5)"
"WNT3_FZD9_LRP5","WNT3_FZD9_LRP5","WNT","Wnt3","FZD9_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt3  - (Fzd9+Lrp5)"
"WNT6_FZD1_LRP5","WNT6_FZD1_LRP5","WNT","Wnt6","FZD1_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt6  - (Fzd1+Lrp5)"
"WNT6_FZD10_LRP5","WNT6_FZD10_LRP5","WNT","Wnt6","FZD10_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt6  - (Fzd10+Lrp5)"
"WNT6_FZD2_LRP5","WNT6_FZD2_LRP5","WNT","Wnt6","FZD2_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt6  - (Fzd2+Lrp5)"
"WNT6_FZD3_LRP5","WNT6_FZD3_LRP5","WNT","Wnt6","FZD3_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt6  - (Fzd3+Lrp5)"
"WNT6_FZD4_LRP5","WNT6_FZD4_LRP5","WNT","Wnt6","FZD4_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt6  - (Fzd4+Lrp5)"
"WNT6_FZD5_LRP5","WNT6_FZD5_LRP5","WNT","Wnt6","FZD5_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt6  - (Fzd5+Lrp5)"
"WNT6_FZD6_LRP5","WNT6_FZD6_LRP5","WNT","Wnt6","FZD6_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt6  - (Fzd6+Lrp5)"
"WNT6_FZD7_LRP5","WNT6_FZD7_LRP5","WNT","Wnt6","FZD7_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt6  - (Fzd7+Lrp5)"
"WNT6_FZD8_LRP5","WNT6_FZD8_LRP5","WNT","Wnt6","FZD8_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt6  - (Fzd8+Lrp5)"
"WNT6_FZD9_LRP5","WNT6_FZD9_LRP5","WNT","Wnt6","FZD9_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt6  - (Fzd9+Lrp5)"
"WNT7B_FZD1_LRP5","WNT7B_FZD1_LRP5","WNT","Wnt7b","FZD1_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt7b  - (Fzd1+Lrp5)"
"WNT7B_FZD10_LRP5","WNT7B_FZD10_LRP5","WNT","Wnt7b","FZD10_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt7b  - (Fzd10+Lrp5)"
"WNT7B_FZD2_LRP5","WNT7B_FZD2_LRP5","WNT","Wnt7b","FZD2_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt7b  - (Fzd2+Lrp5)"
"WNT7B_FZD3_LRP5","WNT7B_FZD3_LRP5","WNT","Wnt7b","FZD3_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt7b  - (Fzd3+Lrp5)"
"WNT7B_FZD4_LRP5","WNT7B_FZD4_LRP5","WNT","Wnt7b","FZD4_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt7b  - (Fzd4+Lrp5)"
"WNT7B_FZD5_LRP5","WNT7B_FZD5_LRP5","WNT","Wnt7b","FZD5_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt7b  - (Fzd5+Lrp5)"
"WNT7B_FZD6_LRP5","WNT7B_FZD6_LRP5","WNT","Wnt7b","FZD6_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt7b  - (Fzd6+Lrp5)"
"WNT7B_FZD7_LRP5","WNT7B_FZD7_LRP5","WNT","Wnt7b","FZD7_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt7b  - (Fzd7+Lrp5)"
"WNT7B_FZD8_LRP5","WNT7B_FZD8_LRP5","WNT","Wnt7b","FZD8_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt7b  - (Fzd8+Lrp5)"
"WNT7B_FZD9_LRP5","WNT7B_FZD9_LRP5","WNT","Wnt7b","FZD9_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt7b  - (Fzd9+Lrp5)"
"WNT8B_FZD1_LRP5","WNT8B_FZD1_LRP5","WNT","Wnt8b","FZD1_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt8b  - (Fzd1+Lrp5)"
"WNT8B_FZD10_LRP5","WNT8B_FZD10_LRP5","WNT","Wnt8b","FZD10_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt8b  - (Fzd10+Lrp5)"
"WNT8B_FZD2_LRP5","WNT8B_FZD2_LRP5","WNT","Wnt8b","FZD2_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt8b  - (Fzd2+Lrp5)"
"WNT8B_FZD3_LRP5","WNT8B_FZD3_LRP5","WNT","Wnt8b","FZD3_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt8b  - (Fzd3+Lrp5)"
"WNT8B_FZD4_LRP5","WNT8B_FZD4_LRP5","WNT","Wnt8b","FZD4_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt8b  - (Fzd4+Lrp5)"
"WNT8B_FZD5_LRP5","WNT8B_FZD5_LRP5","WNT","Wnt8b","FZD5_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt8b  - (Fzd5+Lrp5)"
"WNT8B_FZD6_LRP5","WNT8B_FZD6_LRP5","WNT","Wnt8b","FZD6_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt8b  - (Fzd6+Lrp5)"
"WNT8B_FZD7_LRP5","WNT8B_FZD7_LRP5","WNT","Wnt8b","FZD7_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt8b  - (Fzd7+Lrp5)"
"WNT8B_FZD8_LRP5","WNT8B_FZD8_LRP5","WNT","Wnt8b","FZD8_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt8b  - (Fzd8+Lrp5)"
