"","interaction_name","pathway_name","ligand","receptor","agonist","antagonist","co_A_receptor","co_I_receptor","evidence","annotation","interaction_name_2"
"BMP15_BMPR1B_BMPR2","BMP15_BMPR1B_BMPR2","BMP","Bmp15","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp15  - (Bmpr1b+Bmpr2)"
"BMP5_ACVR1_ACVR2A","BMP5_ACVR1_ACVR2A","BMP","Bmp5","ACVR1_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp5  - (Acvr1+Acvr2a)"
"BMP5_ACVR1_ACVR2B","BMP5_ACVR1_ACVR2B","BMP","Bmp5","ACVR1_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp5  - (Acvr1+Acvr2b)"
"BMP5_ACVR1_BMPR2","BMP5_ACVR1_BMPR2","BMP","Bmp5","ACVR1_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp5  - (Acvr1+Bmpr2)"
"BMP5_BMPR1A_ACVR2A","BMP5_BMPR1A_ACVR2A","BMP","Bmp5","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp5  - (Bmpr1a+Acvr2a)"
"BMP5_BMPR1A_ACVR2B","BMP5_BMPR1A_ACVR2B","BMP","Bmp5","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp5  - (Bmpr1a+Acvr2b)"
"BMP5_BMPR1A_BMPR2","BMP5_BMPR1A_BMPR2","BMP","Bmp5","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp5  - (Bmpr1a+Bmpr2)"
"BMP5_BMPR1B_ACVR2A","BMP5_BMPR1B_ACVR2A","BMP","Bmp5","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp5  - (Bmpr1b+Acvr2a)"
"BMP5_BMPR1B_ACVR2B","BMP5_BMPR1B_ACVR2B","BMP","Bmp5","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp5  - (Bmpr1b+Acvr2b)"
"BMP5_BMPR1B_BMPR2","BMP5_BMPR1B_BMPR2","BMP","Bmp5","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp5  - (Bmpr1b+Bmpr2)"
"BMP6_ACVR1_ACVR2A","BMP6_ACVR1_ACVR2A","BMP","Bmp6","ACVR1_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Acvr1+Acvr2a)"
"BMP6_ACVR1_ACVR2B","BMP6_ACVR1_ACVR2B","BMP","Bmp6","ACVR1_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Acvr1+Acvr2b)"
"BMP6_ACVR1_BMPR2","BMP6_ACVR1_BMPR2","BMP","Bmp6","ACVR1_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Acvr1+Bmpr2)"
"BMP6_BMPR1A_ACVR2A","BMP6_BMPR1A_ACVR2A","BMP","Bmp6","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Bmpr1a+Acvr2a)"
"BMP6_BMPR1A_ACVR2B","BMP6_BMPR1A_ACVR2B","BMP","Bmp6","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Bmpr1a+Acvr2b)"
"BMP6_BMPR1A_BMPR2","BMP6_BMPR1A_BMPR2","BMP","Bmp6","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Bmpr1a+Bmpr2)"
"BMP6_BMPR1B_ACVR2A","BMP6_BMPR1B_ACVR2A","BMP","Bmp6","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Bmpr1b+Acvr2a)"
"BMP6_BMPR1B_ACVR2B","BMP6_BMPR1B_ACVR2B","BMP","Bmp6","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Bmpr1b+Acvr2b)"
"BMP6_BMPR1B_BMPR2","BMP6_BMPR1B_BMPR2","BMP","Bmp6","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Bmpr1b+Bmpr2)"
"BMP8A_ACVR1_ACVR2A","BMP8A_ACVR1_ACVR2A","BMP","Bmp8a","ACVR1_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8a  - (Acvr1+Acvr2a)"
"BMP8A_ACVR1_ACVR2B","BMP8A_ACVR1_ACVR2B","BMP","Bmp8a","ACVR1_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8a  - (Acvr1+Acvr2b)"
"BMP8A_ACVR1_BMPR2","BMP8A_ACVR1_BMPR2","BMP","Bmp8a","ACVR1_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8a  - (Acvr1+Bmpr2)"
"BMP8A_BMPR1A_ACVR2A","BMP8A_BMPR1A_ACVR2A","BMP","Bmp8a","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8a  - (Bmpr1a+Acvr2a)"
"BMP8A_BMPR1A_ACVR2B","BMP8A_BMPR1A_ACVR2B","BMP","Bmp8a","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8a  - (Bmpr1a+Acvr2b)"
"BMP8A_BMPR1A_BMPR2","BMP8A_BMPR1A_BMPR2","BMP","Bmp8a","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8a  - (Bmpr1a+Bmpr2)"
"BMP8A_BMPR1B_ACVR2A","BMP8A_BMPR1B_ACVR2A","BMP","Bmp8a","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8a  - (Bmpr1b+Acvr2a)"
"BMP8A_BMPR1B_ACVR2B","BMP8A_BMPR1B_ACVR2B","BMP","Bmp8a","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8a  - (Bmpr1b+Acvr2b)"
"BMP8A_BMPR1B_BMPR2","BMP8A_BMPR1B_BMPR2","BMP","Bmp8a","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8a  - (Bmpr1b+Bmpr2)"
"GDF2_ACVRL1_ACVR2A","GDF2_ACVRL1_ACVR2A","BMP10","Gdf2","ACVRL1_ACVR2A","","","BMP10 activation receptor","","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Gdf2  - (Acvrl1+Acvr2a)"
"GDF9_ACVR1B_BMPR2","GDF9_ACVR1B_BMPR2","GDF","Gdf9","ACVR1B_BMPR2","","","","","KEGG: mmu04350","Secreted Signaling","Gdf9  - (Acvr1b+Bmpr2)"
"GDF10_ACVR1B_ACVR2A","GDF10_ACVR1B_ACVR2A","GDF","Gdf10","ACVR1B_ACVR2A","","","","","KEGG: mmu04350","Secreted Signaling","Gdf10  - (Acvr1b+Acvr2a)"
"GDF11_TGFBR1_ACVR2A","GDF11_TGFBR1_ACVR2A","GDF","Gdf11","TGFBR1_ACVR2A","","","","","KEGG: mmu04350","Secreted Signaling","Gdf11  - (Tgfbr1+Acvr2a)"
"GDF11_TGFBR1_ACVR2B","GDF11_TGFBR1_ACVR2B","GDF","Gdf11","TGFBR1_ACVR2B","","","","","KEGG: mmu04350","Secreted Signaling","Gdf11  - (Tgfbr1+Acvr2b)"
"GDF11_ACVR1B_ACVR2B","GDF11_ACVR1B_ACVR2B","GDF","Gdf11","ACVR1B_ACVR2B","","","","","KEGG: mmu04350","Secreted Signaling","Gdf11  - (Acvr1b+Acvr2b)"
"GDNF_GFRA1","GDNF_GFRA1","GDNF","Gdnf","GFRA1_RET","","","","","PMID: 11544105","Secreted Signaling","Gdnf  - Gfra1"
"NRTN_GFRA2","NRTN_GFRA2","GDNF","Nrtn","GFRA2_RET","","","","","PMID: 11544105","Secreted Signaling","Nrtn  - Gfra2"
"ARTN_GFRA3","ARTN_GFRA3","GDNF","Artn","GFRA3_RET","","","","","PMID: 11544105","Secreted Signaling","Artn  - Gfra3"
"ARTN_GFRA1","ARTN_GFRA1","GDNF","Artn","GFRA1_RET","","","","","PMID: 11544105","Secreted Signaling","Artn  - Gfra1"
"NODAL_ACVR1B_ACVR2A","NODAL_ACVR1B_ACVR2A","NODAL","Nodal","ACVR1B_ACVR2A_CFC1","NODAL agonist","NODAL antagonist","","","KEGG: mmu04350; PMID: 17287255","Secreted Signaling","Nodal  - (Acvr1b+Acvr2a)"
"NODAL_ACVR1C_ACVR2A","NODAL_ACVR1C_ACVR2A","NODAL","Nodal","ACVR1C_ACVR2A_CFC1","NODAL agonist","NODAL antagonist","","","KEGG: mmu04350; PMID: 17287255","Secreted Signaling","Nodal  - (Acvr1c+Acvr2a)"
"NODAL_ACVR1B_ACVR2B","NODAL_ACVR1B_ACVR2B","NODAL","Nodal","ACVR1B_ACVR2B_CFC1","NODAL agonist","NODAL antagonist","","","KEGG: mmu04350; PMID: 17287255","Secreted Signaling","Nodal  - (Acvr1b+Acvr2b)"
"NODAL_ACVR1C_ACVR2B","NODAL_ACVR1C_ACVR2B","NODAL","Nodal","ACVR1C_ACVR2B_CFC1","NODAL agonist","NODAL antagonist","","","KEGG: mmu04350; PMID: 17287255","Secreted Signaling","Nodal  - (Acvr1c+Acvr2b)"
"INHBA_ACVR1B_ACVR2A","INHBA_ACVR1B_ACVR2A","ACTIVIN","Inhba","ACVR1B_ACVR2A","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","KEGG: mmu04350","Secreted Signaling","Inhba  - (Acvr1b+Acvr2a)"
"INHBA_ACVR1B_ACVR2B","INHBA_ACVR1B_ACVR2B","ACTIVIN","Inhba","ACVR1B_ACVR2B","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","KEGG: mmu04350","Secreted Signaling","Inhba  - (Acvr1b+Acvr2b)"
"INHBB_ACVR1B_ACVR2A","INHBB_ACVR1B_ACVR2A","ACTIVIN","Inhbb","ACVR1B_ACVR2A","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","KEGG: mmu04350","Secreted Signaling","Inhbb  - (Acvr1b+Acvr2a)"
"INHBB_ACVR1B_ACVR2B","INHBB_ACVR1B_ACVR2B","ACTIVIN","Inhbb","ACVR1B_ACVR2B","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","KEGG: mmu04350","Secreted Signaling","Inhbb  - (Acvr1b+Acvr2b)"
"INHBB_ACVR1C_ACVR2A","INHBB_ACVR1C_ACVR2A","ACTIVIN","Inhbb","ACVR1C_ACVR2A","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","KEGG: mmu04350","Secreted Signaling","Inhbb  - (Acvr1c+Acvr2a)"
"INHBB_ACVR1C_ACVR2B","INHBB_ACVR1C_ACVR2B","ACTIVIN","Inhbb","ACVR1C_ACVR2B","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","KEGG: mmu04350","Secreted Signaling","Inhbb  - (Acvr1c+Acvr2b)"
"INHBC_ACVR1B_ACVR2A","INHBC_ACVR1B_ACVR2A","ACTIVIN","Inhbc","ACVR1B_ACVR2A","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","KEGG: mmu04350","Secreted Signaling","Inhbc  - (Acvr1b+Acvr2a)"
"INHBC_ACVR1B_ACVR2B","INHBC_ACVR1B_ACVR2B","ACTIVIN","Inhbc","ACVR1B_ACVR2B","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","KEGG: mmu04350","Secreted Signaling","Inhbc  - (Acvr1b+Acvr2b)"
"INHBC_ACVR1C_ACVR2A","INHBC_ACVR1C_ACVR2A","ACTIVIN","Inhbc","ACVR1C_ACVR2A","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","KEGG: mmu04350","Secreted Signaling","Inhbc  - (Acvr1c+Acvr2a)"
"INHBC_ACVR1C_ACVR2B","INHBC_ACVR1C_ACVR2B","ACTIVIN","Inhbc","ACVR1C_ACVR2B","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","KEGG: mmu04350","Secreted Signaling","Inhbc  - (Acvr1c+Acvr2b)"
"INHBABB_ACVR1B_ACVR2A","INHBABB_ACVR1B_ACVR2A","ACTIVIN","Activin AB","ACVR1B_ACVR2A","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","PMID: 2457849; PMID: 22991378","Secreted Signaling","Inhbabb  - (Acvr1b+Acvr2a)"
"INHBABB_ACVR1B_ACVR2B","INHBABB_ACVR1B_ACVR2B","ACTIVIN","Activin AB","ACVR1B_ACVR2B","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","PMID: 2457849; PMID: 22991378","Secreted Signaling","Inhbabb  - (Acvr1b+Acvr2b)"
"INHBABB_ACVR1C_ACVR2A","INHBABB_ACVR1C_ACVR2A","ACTIVIN","Activin AB","ACVR1C_ACVR2A","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","PMID: 2457849; PMID: 22991378","Secreted Signaling","Inhbabb  - (Acvr1c+Acvr2a)"
"INHB_ACVR1C_ACVR2B","INHB_ACVR1C_ACVR2B","ACTIVIN","Activin AB","ACVR1C_ACVR2B","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","PMID: 2457849; PMID: 22991378","Secreted Signaling","Inhb  - (Acvr1c+Acvr2b)"
"INHABA_ACVR2A","INHABA_ACVR2A","ACTIVIN","Inhibin A","Acvr2a","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","PMID: 15027884","Secreted Signaling","Inhaba  - Acvr2a"
"INHABB_ACVR2B","INHABB_ACVR2B","ACTIVIN","Inhibin B","Acvr2b","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","PMID: 15027884","Secreted Signaling","Inhabb  - Acvr2b"
"WNT1_FZD1_LRP5","WNT1_FZD1_LRP5","WNT","Wnt1","FZD1_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt1  - (Fzd1+Lrp5)"
"WNT1_FZD10_LRP5","WNT1_FZD10_LRP5","WNT","Wnt1","FZD10_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt1  - (Fzd10+Lrp5)"
"WNT1_FZD2_LRP5","WNT1_FZD2_LRP5","WNT","Wnt1","FZD2_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt1  - (Fzd2+Lrp5)"
"WNT1_FZD3_LRP5","WNT1_FZD3_LRP5","WNT","Wnt1","FZD3_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt1  - (Fzd3+Lrp5)"
"WNT1_FZD4_LRP5","WNT1_FZD4_LRP5","WNT","Wnt1","FZD4_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt1  - (Fzd4+Lrp5)"
"WNT1_FZD5_LRP5","WNT1_FZD5_LRP5","WNT","Wnt1","FZD5_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt1  - (Fzd5+Lrp5)"
"WNT1_FZD6_LRP5","WNT1_FZD6_LRP5","WNT","Wnt1","FZD6_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt1  - (Fzd6+Lrp5)"
"WNT1_FZD7_LRP5","WNT1_FZD7_LRP5","WNT","Wnt1","FZD7_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt1  - (Fzd7+Lrp5)"
"WNT1_FZD8_LRP5","WNT1_FZD8_LRP5","WNT","Wnt1","FZD8_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt1  - (Fzd8+Lrp5)"
"WNT1_FZD9_LRP5","WNT1_FZD9_LRP5","WNT","Wnt1","FZD9_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt1  - (Fzd9+Lrp5)"
"WNT10A_FZD1_LRP5","WNT10A_FZD1_LRP5","WNT","Wnt10a","FZD1_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10a  - (Fzd1+Lrp5)"
"WNT10A_FZD10_LRP5","WNT10A_FZD10_LRP5","WNT","Wnt10a","FZD10_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10a  - (Fzd10+Lrp5)"
"WNT10A_FZD2_LRP5","WNT10A_FZD2_LRP5","WNT","Wnt10a","FZD2_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10a  - (Fzd2+Lrp5)"
"WNT10A_FZD3_LRP5","WNT10A_FZD3_LRP5","WNT","Wnt10a","FZD3_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10a  - (Fzd3+Lrp5)"
"WNT10A_FZD4_LRP5","WNT10A_FZD4_LRP5","WNT","Wnt10a","FZD4_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10a  - (Fzd4+Lrp5)"
"WNT10A_FZD5_LRP5","WNT10A_FZD5_LRP5","WNT","Wnt10a","FZD5_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10a  - (Fzd5+Lrp5)"
"WNT10A_FZD6_LRP5","WNT10A_FZD6_LRP5","WNT","Wnt10a","FZD6_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10a  - (Fzd6+Lrp5)"
"WNT10A_FZD7_LRP5","WNT10A_FZD7_LRP5","WNT","Wnt10a","FZD7_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10a  - (Fzd7+Lrp5)"
"WNT10A_FZD8_LRP5","WNT10A_FZD8_LRP5","WNT","Wnt10a","FZD8_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10a  - (Fzd8+Lrp5)"
"WNT10A_FZD9_LRP5","WNT10A_FZD9_LRP5","WNT","Wnt10a","FZD9_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10a  - (Fzd9+Lrp5)"
"WNT10B_FZD1_LRP5","WNT10B_FZD1_LRP5","WNT","Wnt10b","FZD1_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10b  - (Fzd1+Lrp5)"
"WNT10B_FZD10_LRP5","WNT10B_FZD10_LRP5","WNT","Wnt10b","FZD10_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10b  - (Fzd10+Lrp5)"
