"interaction","cell1","cell2","p-value"
"TGFB1_ACVR1C_TGFBR2","B Cell","Monocytes","0"
"TGFB1_ACVR1C_TGFBR2","Basophils","Monocytes","0.03"
"TGFB1_ACVR1C_TGFBR2","Dendritic cells","Monocytes","0.01"
"TGFB1_ACVR1C_TGFBR2","Eosinophil","Monocytes","0"
"TGFB1_ACVR1C_TGFBR2","Granulocytes","Monocytes","0"
"TGFB1_ACVR1C_TGFBR2","Monocytes","Monocytes","0"
"TGFB1_ACVR1C_TGFBR2","Eosinophil","NK Cell","0"
"TGFB1_ACVR1C_TGFBR2","Eosinophil","Stem Cells","0.01"
"TGFB1_ACVR1C_TGFBR2","ab T Cell","Stromal Cells","0.02"
"TGFB1_ACVR1C_TGFBR2","B Cell","Stromal Cells","0"
"TGFB1_ACVR1C_TGFBR2","Basophils","Stromal Cells","0"
"TGFB1_ACVR1C_TGFBR2","Dendritic cells","Stromal Cells","0"
"TGFB1_ACVR1C_TGFBR2","Eosinophil","Stromal Cells","0"
"TGFB1_ACVR1C_TGFBR2","Granulocytes","Stromal Cells","0"
"TGFB1_ACVR1C_TGFBR2","Innate Lymphocytes","Stromal Cells","0"
"TGFB1_ACVR1C_TGFBR2","Macrophage","Stromal Cells","0"
"TGFB1_ACVR1C_TGFBR2","Mast Cells","Stromal Cells","0.01"
"TGFB1_ACVR1C_TGFBR2","Monocytes","Stromal Cells","0"
"TGFB1_ACVR1C_TGFBR2","NK Cell","Stromal Cells","0.03"
"TGFB1_ACVR1C_TGFBR2","T Cell","Stromal Cells","0.03"
"TGFB1_ACVR1C_TGFBR2","B Cell","T Cell","0"
"TGFB1_ACVR1C_TGFBR2","Dendritic cells","T Cell","0"
"TGFB1_ACVR1C_TGFBR2","Eosinophil","T Cell","0"
"TGFB1_ACVR1C_TGFBR2","Granulocytes","T Cell","0.01"
"TGFB1_ACVR1C_TGFBR2","Monocytes","T Cell","0"
"TGFB3_ACVR1B_TGFBR2","gd T cells","ab T Cell","0"
"TGFB3_ACVR1B_TGFBR2","Innate Lymphocytes","ab T Cell","0.01"
"TGFB3_ACVR1B_TGFBR2","NK Cell","ab T Cell","0"
"TGFB3_ACVR1B_TGFBR2","Stromal Cells","ab T Cell","0"
"TGFB3_ACVR1B_TGFBR2","gd T cells","B Cell","0"
"TGFB3_ACVR1B_TGFBR2","Innate Lymphocytes","B Cell","0.01"
"TGFB3_ACVR1B_TGFBR2","NK Cell","B Cell","0"
"TGFB3_ACVR1B_TGFBR2","Stromal Cells","B Cell","0"
"TGFB3_ACVR1B_TGFBR2","gd T cells","Basophils","0"
"TGFB3_ACVR1B_TGFBR2","Innate Lymphocytes","Basophils","0"
"TGFB3_ACVR1B_TGFBR2","NK Cell","Basophils","0"
"TGFB3_ACVR1B_TGFBR2","Stromal Cells","Basophils","0"
"TGFB3_ACVR1B_TGFBR2","gd T cells","Dendritic cells","0.01"
"TGFB3_ACVR1B_TGFBR2","Innate Lymphocytes","Dendritic cells","0.03"
"TGFB3_ACVR1B_TGFBR2","NK Cell","Dendritic cells","0.03"
"TGFB3_ACVR1B_TGFBR2","Stromal Cells","Dendritic cells","0"
"TGFB3_ACVR1B_TGFBR2","ab T Cell","Eosinophil","0.01"
"TGFB3_ACVR1B_TGFBR2","B Cell","Eosinophil","0"
"TGFB3_ACVR1B_TGFBR2","gd T cells","Eosinophil","0"
"TGFB3_ACVR1B_TGFBR2","Innate Lymphocytes","Eosinophil","0"
"TGFB3_ACVR1B_TGFBR2","NK Cell","Eosinophil","0"
"TGFB3_ACVR1B_TGFBR2","Stromal Cells","Eosinophil","0"
"TGFB3_ACVR1B_TGFBR2","B Cell","gd T cells","0.02"
"TGFB3_ACVR1B_TGFBR2","gd T cells","gd T cells","0"
"TGFB3_ACVR1B_TGFBR2","Innate Lymphocytes","gd T cells","0"
"TGFB3_ACVR1B_TGFBR2","NK Cell","gd T cells","0"
"TGFB3_ACVR1B_TGFBR2","Stromal Cells","gd T cells","0"
"TGFB3_ACVR1B_TGFBR2","B Cell","Granulocytes","0.03"
"TGFB3_ACVR1B_TGFBR2","gd T cells","Granulocytes","0"
"TGFB3_ACVR1B_TGFBR2","Innate Lymphocytes","Granulocytes","0"
"TGFB3_ACVR1B_TGFBR2","NK Cell","Granulocytes","0"
"TGFB3_ACVR1B_TGFBR2","Stromal Cells","Granulocytes","0"
"TGFB3_ACVR1B_TGFBR2","gd T cells","Innate Lymphocytes","0.02"
"TGFB3_ACVR1B_TGFBR2","Innate Lymphocytes","Innate Lymphocytes","0.02"
"TGFB3_ACVR1B_TGFBR2","NK Cell","Innate Lymphocytes","0.03"
"TGFB3_ACVR1B_TGFBR2","Stromal Cells","Innate Lymphocytes","0"
"TGFB3_ACVR1B_TGFBR2","gd T cells","Macrophage","0.02"
"TGFB3_ACVR1B_TGFBR2","Innate Lymphocytes","Macrophage","0.01"
"TGFB3_ACVR1B_TGFBR2","NK Cell","Macrophage","0.01"
"TGFB3_ACVR1B_TGFBR2","Stromal Cells","Macrophage","0"
"TGFB3_ACVR1B_TGFBR2","ab T Cell","Mast Cells","0"
"TGFB3_ACVR1B_TGFBR2","B Cell","Mast Cells","0.01"
"TGFB3_ACVR1B_TGFBR2","gd T cells","Mast Cells","0"
"TGFB3_ACVR1B_TGFBR2","Innate Lymphocytes","Mast Cells","0"
"TGFB3_ACVR1B_TGFBR2","NK Cell","Mast Cells","0"
"TGFB3_ACVR1B_TGFBR2","Stromal Cells","Mast Cells","0"
"TGFB3_ACVR1B_TGFBR2","gd T cells","Monocytes","0"
"TGFB3_ACVR1B_TGFBR2","Innate Lymphocytes","Monocytes","0.01"
"TGFB3_ACVR1B_TGFBR2","NK Cell","Monocytes","0"
"TGFB3_ACVR1B_TGFBR2","Stromal Cells","Monocytes","0"
"TGFB3_ACVR1B_TGFBR2","Stromal Cells","NK Cell","0"
"TGFB3_ACVR1B_TGFBR2","NK Cell","Stem Cells","0.03"
"TGFB3_ACVR1B_TGFBR2","Stromal Cells","Stem Cells","0"
"TGFB3_ACVR1B_TGFBR2","gd T cells","Stromal Cells","0"
"TGFB3_ACVR1B_TGFBR2","Innate Lymphocytes","Stromal Cells","0"
"TGFB3_ACVR1B_TGFBR2","NK Cell","Stromal Cells","0"
"TGFB3_ACVR1B_TGFBR2","Stromal Cells","Stromal Cells","0"
"TGFB3_ACVR1B_TGFBR2","gd T cells","T Cell","0"
"TGFB3_ACVR1B_TGFBR2","Innate Lymphocytes","T Cell","0"
"TGFB3_ACVR1B_TGFBR2","NK Cell","T Cell","0"
"TGFB3_ACVR1B_TGFBR2","Stromal Cells","T Cell","0"
"TGFB3_ACVR1C_TGFBR2","gd T cells","ab T Cell","0"
"TGFB3_ACVR1C_TGFBR2","Innate Lymphocytes","ab T Cell","0.01"
"TGFB3_ACVR1C_TGFBR2","NK Cell","ab T Cell","0"
"TGFB3_ACVR1C_TGFBR2","Stromal Cells","ab T Cell","0"
"TGFB3_ACVR1C_TGFBR2","gd T cells","B Cell","0.01"
"TGFB3_ACVR1C_TGFBR2","Innate Lymphocytes","B Cell","0.01"
"TGFB3_ACVR1C_TGFBR2","NK Cell","B Cell","0"
"TGFB3_ACVR1C_TGFBR2","Stromal Cells","B Cell","0"
"TGFB3_ACVR1C_TGFBR2","ab T Cell","Basophils","0.01"
"TGFB3_ACVR1C_TGFBR2","B Cell","Basophils","0.01"
"TGFB3_ACVR1C_TGFBR2","gd T cells","Basophils","0"
"TGFB3_ACVR1C_TGFBR2","Innate Lymphocytes","Basophils","0"
"TGFB3_ACVR1C_TGFBR2","NK Cell","Basophils","0"
"TGFB3_ACVR1C_TGFBR2","Stromal Cells","Basophils","0"
"TGFB3_ACVR1C_TGFBR2","gd T cells","Dendritic cells","0"
"TGFB3_ACVR1C_TGFBR2","Innate Lymphocytes","Dendritic cells","0.01"
"TGFB3_ACVR1C_TGFBR2","NK Cell","Dendritic cells","0"
"TGFB3_ACVR1C_TGFBR2","Stromal Cells","Dendritic cells","0"
"TGFB3_ACVR1C_TGFBR2","gd T cells","Eosinophil","0.02"
"TGFB3_ACVR1C_TGFBR2","Innate Lymphocytes","Eosinophil","0.04"
"TGFB3_ACVR1C_TGFBR2","NK Cell","Eosinophil","0.04"
"TGFB3_ACVR1C_TGFBR2","Stromal Cells","Eosinophil","0"
"TGFB3_ACVR1C_TGFBR2","B Cell","gd T cells","0.02"
"TGFB3_ACVR1C_TGFBR2","gd T cells","gd T cells","0"
"TGFB3_ACVR1C_TGFBR2","Innate Lymphocytes","gd T cells","0"
"TGFB3_ACVR1C_TGFBR2","NK Cell","gd T cells","0"
"TGFB3_ACVR1C_TGFBR2","Stromal Cells","gd T cells","0"
"TGFB3_ACVR1C_TGFBR2","gd T cells","Granulocytes","0"
"TGFB3_ACVR1C_TGFBR2","Innate Lymphocytes","Granulocytes","0"
"TGFB3_ACVR1C_TGFBR2","NK Cell","Granulocytes","0"
"TGFB3_ACVR1C_TGFBR2","Stromal Cells","Granulocytes","0"
"TGFB3_ACVR1C_TGFBR2","gd T cells","Innate Lymphocytes","0"
"TGFB3_ACVR1C_TGFBR2","Innate Lymphocytes","Innate Lymphocytes","0.01"
"TGFB3_ACVR1C_TGFBR2","NK Cell","Innate Lymphocytes","0"
"TGFB3_ACVR1C_TGFBR2","Stromal Cells","Innate Lymphocytes","0"
"TGFB3_ACVR1C_TGFBR2","gd T cells","Macrophage","0.01"
"TGFB3_ACVR1C_TGFBR2","Innate Lymphocytes","Macrophage","0.02"
"TGFB3_ACVR1C_TGFBR2","NK Cell","Macrophage","0"
"TGFB3_ACVR1C_TGFBR2","Stromal Cells","Macrophage","0"
"TGFB3_ACVR1C_TGFBR2","gd T cells","Mast Cells","0.01"
"TGFB3_ACVR1C_TGFBR2","Innate Lymphocytes","Mast Cells","0.02"
"TGFB3_ACVR1C_TGFBR2","NK Cell","Mast Cells","0.01"
"TGFB3_ACVR1C_TGFBR2","Stromal Cells","Mast Cells","0"
"TGFB3_ACVR1C_TGFBR2","gd T cells","Monocytes","0"
"TGFB3_ACVR1C_TGFBR2","Innate Lymphocytes","Monocytes","0"
"TGFB3_ACVR1C_TGFBR2","NK Cell","Monocytes","0"
"TGFB3_ACVR1C_TGFBR2","Stromal Cells","Monocytes","0"
"TGFB3_ACVR1C_TGFBR2","gd T cells","NK Cell","0.03"
"TGFB3_ACVR1C_TGFBR2","Stromal Cells","NK Cell","0"
"TGFB3_ACVR1C_TGFBR2","NK Cell","Stem Cells","0.03"
"TGFB3_ACVR1C_TGFBR2","Stromal Cells","Stem Cells","0"
"TGFB3_ACVR1C_TGFBR2","ab T Cell","Stromal Cells","0.01"
"TGFB3_ACVR1C_TGFBR2","B Cell","Stromal Cells","0.01"
"TGFB3_ACVR1C_TGFBR2","gd T cells","Stromal Cells","0"
"TGFB3_ACVR1C_TGFBR2","Innate Lymphocytes","Stromal Cells","0"
"TGFB3_ACVR1C_TGFBR2","NK Cell","Stromal Cells","0"
"TGFB3_ACVR1C_TGFBR2","Stromal Cells","Stromal Cells","0"
"TGFB3_ACVR1C_TGFBR2","gd T cells","T Cell","0"
"TGFB3_ACVR1C_TGFBR2","Innate Lymphocytes","T Cell","0"
"TGFB3_ACVR1C_TGFBR2","NK Cell","T Cell","0"
"TGFB3_ACVR1C_TGFBR2","Stromal Cells","T Cell","0"
"TGFB1_ACVR1_TGFBR1","Eosinophil","ab T Cell","0"
"TGFB1_ACVR1_TGFBR1","Eosinophil","B Cell","0"
"TGFB1_ACVR1_TGFBR1","Eosinophil","Basophils","0"
"TGFB1_ACVR1_TGFBR1","B Cell","Dendritic cells","0"
"TGFB1_ACVR1_TGFBR1","Basophils","Dendritic cells","0.01"
"TGFB1_ACVR1_TGFBR1","Dendritic cells","Dendritic cells","0.01"
"TGFB1_ACVR1_TGFBR1","Eosinophil","Dendritic cells","0"
"TGFB1_ACVR1_TGFBR1","Granulocytes","Dendritic cells","0.01"
"TGFB1_ACVR1_TGFBR1","Macrophage","Dendritic cells","0.04"
"TGFB1_ACVR1_TGFBR1","Monocytes","Dendritic cells","0"
"TGFB1_ACVR1_TGFBR1","Eosinophil","Eosinophil","0"
"TGFB1_ACVR1_TGFBR1","B Cell","gd T cells","0.01"
"TGFB1_ACVR1_TGFBR1","Dendritic cells","gd T cells","0.01"
"TGFB1_ACVR1_TGFBR1","Eosinophil","gd T cells","0"
"TGFB1_ACVR1_TGFBR1","Granulocytes","gd T cells","0.02"
"TGFB1_ACVR1_TGFBR1","Monocytes","gd T cells","0"
"TGFB1_ACVR1_TGFBR1","B Cell","Granulocytes","0.01"
"TGFB1_ACVR1_TGFBR1","Basophils","Granulocytes","0.02"
"TGFB1_ACVR1_TGFBR1","Dendritic cells","Granulocytes","0"
"TGFB1_ACVR1_TGFBR1","Eosinophil","Granulocytes","0"
"TGFB1_ACVR1_TGFBR1","Granulocytes","Granulocytes","0.01"
"TGFB1_ACVR1_TGFBR1","Monocytes","Granulocytes","0"
"TGFB1_ACVR1_TGFBR1","Eosinophil","Innate Lymphocytes","0"
"TGFB1_ACVR1_TGFBR1","B Cell","Macrophage","0"
"TGFB1_ACVR1_TGFBR1","Basophils","Macrophage","0.02"
"TGFB1_ACVR1_TGFBR1","Dendritic cells","Macrophage","0"
"TGFB1_ACVR1_TGFBR1","Eosinophil","Macrophage","0"
"TGFB1_ACVR1_TGFBR1","Granulocytes","Macrophage","0"
"TGFB1_ACVR1_TGFBR1","Macrophage","Macrophage","0.01"
"TGFB1_ACVR1_TGFBR1","Mast Cells","Macrophage","0.04"
"TGFB1_ACVR1_TGFBR1","Monocytes","Macrophage","0"
"TGFB1_ACVR1_TGFBR1","ab T Cell","Mast Cells","0"
"TGFB1_ACVR1_TGFBR1","B Cell","Mast Cells","0"
"TGFB1_ACVR1_TGFBR1","Basophils","Mast Cells","0"
"TGFB1_ACVR1_TGFBR1","Dendritic cells","Mast Cells","0"
"TGFB1_ACVR1_TGFBR1","Eosinophil","Mast Cells","0"
"TGFB1_ACVR1_TGFBR1","gd T cells","Mast Cells","0.01"
"TGFB1_ACVR1_TGFBR1","Granulocytes","Mast Cells","0"
"TGFB1_ACVR1_TGFBR1","Innate Lymphocytes","Mast Cells","0"
"TGFB1_ACVR1_TGFBR1","Macrophage","Mast Cells","0"
"TGFB1_ACVR1_TGFBR1","Mast Cells","Mast Cells","0"
"TGFB1_ACVR1_TGFBR1","Monocytes","Mast Cells","0"
"TGFB1_ACVR1_TGFBR1","NK Cell","Mast Cells","0"
"TGFB1_ACVR1_TGFBR1","Stem Cells","Mast Cells","0"
"TGFB1_ACVR1_TGFBR1","T Cell","Mast Cells","0"
"TGFB1_ACVR1_TGFBR1","ab T Cell","Monocytes","0.04"
"TGFB1_ACVR1_TGFBR1","B Cell","Monocytes","0"
"TGFB1_ACVR1_TGFBR1","Basophils","Monocytes","0"
"TGFB1_ACVR1_TGFBR1","Dendritic cells","Monocytes","0.01"
"TGFB1_ACVR1_TGFBR1","Eosinophil","Monocytes","0"
"TGFB1_ACVR1_TGFBR1","Granulocytes","Monocytes","0"
"TGFB1_ACVR1_TGFBR1","Innate Lymphocytes","Monocytes","0.04"
"TGFB1_ACVR1_TGFBR1","Macrophage","Monocytes","0.04"
"TGFB1_ACVR1_TGFBR1","Mast Cells","Monocytes","0.02"
"TGFB1_ACVR1_TGFBR1","Monocytes","Monocytes","0"
"TGFB1_ACVR1_TGFBR1","Eosinophil","NK Cell","0"
"TGFB1_ACVR1_TGFBR1","Eosinophil","Stem Cells","0"
"TGFB1_ACVR1_TGFBR1","Monocytes","Stem Cells","0.04"
"TGFB1_ACVR1_TGFBR1","ab T Cell","Stromal Cells","0"
"TGFB1_ACVR1_TGFBR1","B Cell","Stromal Cells","0"
"TGFB1_ACVR1_TGFBR1","Basophils","Stromal Cells","0"
"TGFB1_ACVR1_TGFBR1","Dendritic cells","Stromal Cells","0"
"TGFB1_ACVR1_TGFBR1","Eosinophil","Stromal Cells","0"
"TGFB1_ACVR1_TGFBR1","gd T cells","Stromal Cells","0.01"
"TGFB1_ACVR1_TGFBR1","Granulocytes","Stromal Cells","0"
"TGFB1_ACVR1_TGFBR1","Innate Lymphocytes","Stromal Cells","0"
"TGFB1_ACVR1_TGFBR1","Macrophage","Stromal Cells","0"
"TGFB1_ACVR1_TGFBR1","Mast Cells","Stromal Cells","0"
"TGFB1_ACVR1_TGFBR1","Monocytes","Stromal Cells","0"
"TGFB1_ACVR1_TGFBR1","NK Cell","Stromal Cells","0"
"TGFB1_ACVR1_TGFBR1","Stem Cells","Stromal Cells","0"
"TGFB1_ACVR1_TGFBR1","Stromal Cells","Stromal Cells","0.01"
"TGFB1_ACVR1_TGFBR1","T Cell","Stromal Cells","0"
"TGFB1_ACVR1_TGFBR1","Eosinophil","T Cell","0"
"TGFB3_ACVR1_TGFBR1","gd T cells","ab T Cell","0.03"
"TGFB3_ACVR1_TGFBR1","Innate Lymphocytes","ab T Cell","0.02"
"TGFB3_ACVR1_TGFBR1","NK Cell","ab T Cell","0.01"
"TGFB3_ACVR1_TGFBR1","Stromal Cells","ab T Cell","0"
"TGFB3_ACVR1_TGFBR1","gd T cells","B Cell","0.02"
"TGFB3_ACVR1_TGFBR1","Innate Lymphocytes","B Cell","0.03"
"TGFB3_ACVR1_TGFBR1","NK Cell","B Cell","0.02"
"TGFB3_ACVR1_TGFBR1","Stromal Cells","B Cell","0"
"TGFB3_ACVR1_TGFBR1","gd T cells","Basophils","0.02"
"TGFB3_ACVR1_TGFBR1","Innate Lymphocytes","Basophils","0.03"
"TGFB3_ACVR1_TGFBR1","NK Cell","Basophils","0.03"
"TGFB3_ACVR1_TGFBR1","Stromal Cells","Basophils","0"
"TGFB3_ACVR1_TGFBR1","B Cell","Dendritic cells","0.01"
"TGFB3_ACVR1_TGFBR1","gd T cells","Dendritic cells","0"
"TGFB3_ACVR1_TGFBR1","Innate Lymphocytes","Dendritic cells","0"
"TGFB3_ACVR1_TGFBR1","NK Cell","Dendritic cells","0"
"TGFB3_ACVR1_TGFBR1","Stromal Cells","Dendritic cells","0"
"TGFB3_ACVR1_TGFBR1","gd T cells","Eosinophil","0.01"
"TGFB3_ACVR1_TGFBR1","NK Cell","Eosinophil","0.04"
"TGFB3_ACVR1_TGFBR1","Stromal Cells","Eosinophil","0"
"TGFB3_ACVR1_TGFBR1","gd T cells","gd T cells","0"
"TGFB3_ACVR1_TGFBR1","Innate Lymphocytes","gd T cells","0"
"TGFB3_ACVR1_TGFBR1","NK Cell","gd T cells","0"
"TGFB3_ACVR1_TGFBR1","Stromal Cells","gd T cells","0"
"TGFB3_ACVR1_TGFBR1","gd T cells","Granulocytes","0"
"TGFB3_ACVR1_TGFBR1","Innate Lymphocytes","Granulocytes","0"
