Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sorting_markers,source_name,SRA Study,Strain,TISSUE
SRR10691513,6 weeks old,RNA-Seq,76,1173130528,PRJNA429735,SAMN13559440,444381526,ab T Cell,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX7368248,GSM4217703,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,4/17/2020 4:30,12/14/2019 0:42,1,GSM4217703,PI-CD19-CD11b-CD45+TCRb+aGalCer-CD1dTetramer,Liver,SRP128986,C57BL/6J,Liver
SRR10691514,6 weeks old,RNA-Seq,76,852257692,PRJNA429735,SAMN13559439,325963835,ab T Cell,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX7368249,GSM4217704,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,4/17/2020 4:30,12/14/2019 0:43,1,GSM4217704,PI-CD19-CD8-TCRb+CD4+,Spleen,SRP128986,C57BL/6J,Spleen
SRR10691515,6 weeks old,RNA-Seq,76,759123948,PRJNA429735,SAMN13559438,289534957,ab T Cell,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7368250,GSM4217705,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,4/17/2020 4:30,12/14/2019 0:41,1,GSM4217705,PI-CD19-CD8-TCRb+CD4+,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466906,6 weeks old,RNA-Seq,50,751284500,PRJNA429735,SAMN08358281,327636221,B cells,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX3556855,GSM2932488,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:24,1,GSM2932488,CD19+Igm+TCRb-,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466907,6 weeks old,RNA-Seq,50,488402600,PRJNA429735,SAMN08358280,206520796,B cells,GEO,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX3556856,GSM2932489,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:29,1,GSM2932489,CD19+CD45R+IgM+CD93-CD23+CD43-CD5-,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466908,6 weeks old,RNA-Seq,50,768020750,PRJNA429735,SAMN08358279,336106190,B cells,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX3556857,GSM2932490,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:23,1,GSM2932490,CD19+CD45R+IgM+CD93-CD23+CD43-CD5-,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466909,6 weeks old,RNA-Seq,50,758041300,PRJNA429735,SAMN08358278,330342179,B cells,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX3556858,GSM2932491,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:22,1,GSM2932491,CD19+CD45R+IgM+CD93-CD23+CD43-CD5-,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466910,6 weeks old,RNA-Seq,50,503678300,PRJNA429735,SAMN08358277,214597266,B cells,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX3556859,GSM2932492,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:30,1,GSM2932492,CD19+CD45R+IgM+CD93-CD23+CD43-CD5-,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466911,6 weeks old,RNA-Seq,50,694833150,PRJNA429735,SAMN08358276,303806618,B cells,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX3556860,GSM2932493,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:17,1,GSM2932493,CD93+IgM+CD19+CD43-HSA+,Bone Marrow,SRP128986,C57BL/6J,Bone Marrow
SRR6466912,6 weeks old,RNA-Seq,50,660841600,PRJNA429735,SAMN08358275,280005024,B cells,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX3556861,GSM2932494,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:27,1,GSM2932494,CD93+IgM+CD19+CD43-HSA+,Bone Marrow,SRP128986,C57BL/6J,Bone Marrow
SRR6466913,6 weeks old,RNA-Seq,50,399183900,PRJNA429735,SAMN08358274,178195407,B cells,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX3556862,GSM2932495,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:18,1,GSM2932495,CD19+B220+IgD-Fas+CD38-CXCR4hi CD86lo,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466914,6 weeks old,RNA-Seq,50,550251050,PRJNA429735,SAMN08358273,231581039,B cells,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX3556863,GSM2932496,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:32,1,GSM2932496,CD19+B220+IgD-Fas+CD38-CXCR4hi CD86lo,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466915,6 weeks old,RNA-Seq,50,313226900,PRJNA429735,SAMN08358272,136037069,B cells,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX3556864,GSM2932497,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:27,1,GSM2932497,CD19+B220+IgD-Fas+CD38-CXCR4hi CD86lo,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466916,6 weeks old,RNA-Seq,50,464761550,PRJNA429735,SAMN08358271,197069122,B cells,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX3556865,GSM2932498,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:28,1,GSM2932498,CD19+B220+IgD-Fas+CD38-CXCR4lo CD86hi,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466917,6 weeks old,RNA-Seq,50,707124550,PRJNA429735,SAMN08358270,308002867,B cells,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX3556866,GSM2932499,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:19,1,GSM2932499,CD19+B220+IgD-Fas+CD38-CXCR4lo CD86hi,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466918,6 weeks old,RNA-Seq,50,588385950,PRJNA429735,SAMN08358269,247519766,B cells,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX3556867,GSM2932500,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:34,1,GSM2932500,CD19+B220+IgD-Fas+CD38-CXCR4lo CD86hi,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466919,6 weeks old,RNA-Seq,50,871523800,PRJNA429735,SAMN08358268,383508647,B cells,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX3556868,GSM2932501,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:22,1,GSM2932501,CD19+B220+IgD-Fas-CD38+IgG+,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466920,6 weeks old,RNA-Seq,50,662947750,PRJNA429735,SAMN08358267,288940424,B cells,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX3556869,GSM2932502,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:21,1,GSM2932502,CD19+CD45R+IgM++CD93-CD23-CD21/35++,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466921,6 weeks old,RNA-Seq,50,520807300,PRJNA429735,SAMN08358266,219408326,B cells,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3556870,GSM2932503,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:32,1,GSM2932503,CD19+CD45R+IgM++CD93-CD23-CD21/35++,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466922,6 weeks old,RNA-Seq,50,424615500,PRJNA429735,SAMN08358265,186022134,B cells,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX3556871,GSM2932504,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:16,1,GSM2932504,sorted on GFPlo CD138+ MHCIIhi (dump: NK1.1- TCRb- Gr1- CD11b-),Spleen,SRP128986,C57BL/6J,Spleen
SRR6466923,6 weeks old,RNA-Seq,50,406398500,PRJNA429735,SAMN08358264,173328232,B cells,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX3556872,GSM2932505,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:26,1,GSM2932505,sorted on GFPlo CD138+ MHCIIhi (dump: NK1.1- TCRb- Gr1- CD11b-),Spleen,SRP128986,C57BL/6J,Spleen
SRR6466924,6 weeks old,RNA-Seq,50,352937100,PRJNA429735,SAMN08358263,152970080,B cells,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX3556873,GSM2932506,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:22,1,GSM2932506,sorted on GFPhi CD138+ MHCIIlo (dump: NK1.1- TCRb- Gr1- CD11b-),Bone Marrow,SRP128986,C57BL/6J,Bone Marrow
SRR6466925,6 weeks old,RNA-Seq,50,398359550,PRJNA429735,SAMN08358262,171057212,B cells,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3556874,GSM2932507,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:24,1,GSM2932507,sorted on GFPhi CD138+ MHCIIlo (dump: NK1.1- TCRb- Gr1- CD11b-),Splenic,SRP128986,C57BL/6J,Splenic
SRR6466926,6 weeks old,RNA-Seq,50,637266400,PRJNA429735,SAMN08358261,270486110,B cells,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX3556875,GSM2932508,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:32,1,GSM2932508,CD19+Igm+TCRb-,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466927,6 weeks old,RNA-Seq,50,712254900,PRJNA429735,SAMN08358260,297916097,B cells,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX3556876,GSM2932509,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:29,1,GSM2932509,CD19+CD45R+IgM++CD93+CD23-,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466928,6 weeks old,RNA-Seq,50,768854600,PRJNA429735,SAMN08358259,332538454,B cells,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX3556877,GSM2932510,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:19,1,GSM2932510,CD19+CD45R+IgM++CD93+CD23+,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466929,6 weeks old,RNA-Seq,50,597227600,PRJNA429735,SAMN08358258,249525922,B cells,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX3556878,GSM2932511,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:30,1,GSM2932511,CD19+CD45R+IgM++CD93+CD23+,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466930,6 weeks old,RNA-Seq,50,450988800,PRJNA429735,SAMN08358257,194788468,B cells,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX3556879,GSM2932512,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:29,1,GSM2932512,CD19+CD45R+IgM+CD93+CD23+,Spleen,SRP128986,C57BL/6J,Spleen
SRR6466931,6 weeks old,RNA-Seq,50,595082000,PRJNA429735,SAMN08358256,249269276,B cells,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX3556880,GSM2932513,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:31,1,GSM2932513,CD19+CD45R+IgM++CD93-CD23-CD43+CD5-,Peritoneal Cavity,SRP128986,C57BL/6J,Peritoneal Cavity
SRR6466932,6 weeks old,RNA-Seq,50,632212050,PRJNA429735,SAMN08358255,274787886,B cells,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX3556881,GSM2932514,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:23,1,GSM2932514,CD19+CD45R+IgM++CD93-CD23-CD43+CD5-,Peritoneal Cavity,SRP128986,C57BL/6J,Peritoneal Cavity
SRR6466933,6 weeks old,RNA-Seq,50,726688600,PRJNA429735,SAMN08358254,305493701,Stromal Cells,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX3556882,GSM2932515,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:30,1,GSM2932515,CD45- CD31+ PDPN- PNAd+,Subcutaneous Lymph Node,SRP128986,C57BL/6J,Subcutaneous Lymph Node
SRR6466934,6 weeks old,RNA-Seq,50,715620550,PRJNA429735,SAMN08358253,310945936,Stromal Cells,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3556883,GSM2932516,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:23,1,GSM2932516,CD45- CD31+ PDPN- PNAd+,Subcutaneous Lymph Node,SRP128986,C57BL/6J,Subcutaneous Lymph Node
SRR6466935,6 weeks old,RNA-Seq,50,486751850,PRJNA429735,SAMN08358252,205372752,Stromal Cells,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX3556884,GSM2932517,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:31,1,GSM2932517,CD45- CD31+ PDPN- PNAd+,Subcutaneous Lymph Node,SRP128986,C57BL/6J,Subcutaneous Lymph Node
SRR6466936,6 weeks old,RNA-Seq,50,619338950,PRJNA429735,SAMN08358251,259990161,Dendritic cells,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3556885,GSM2932518,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:31,1,GSM2932518,CD45+ MHCII+ CD11c+ CD8- CD4+,Splenic,SRP128986,C57BL/6J,Splenic
SRR6466937,6 weeks old,RNA-Seq,50,163023350,PRJNA429735,SAMN08358250,70755738,Dendritic cells,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX3556886,GSM2932519,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:27,1,GSM2932519,CD45+ MHCII+ CD11c+ CD8- CD4+,Splenic,SRP128986,C57BL/6J,Splenic
SRR6466938,6 weeks old,RNA-Seq,50,717946600,PRJNA429735,SAMN08358249,311933809,Dendritic cells,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX3556887,GSM2932520,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:25,1,GSM2932520,CD45+ MHCII+ CD11c+ CD8- CD4+,Splenic,SRP128986,C57BL/6J,Splenic
SRR6466939,6 weeks old,RNA-Seq,50,308067200,PRJNA429735,SAMN08358248,129449501,Dendritic cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3556888,GSM2932521,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:27,1,GSM2932521,CD45+ MHCII+ CD11c+ CD8+ CD4-,Splenic,SRP128986,C57BL/6J,Splenic
SRR6466940,6 weeks old,RNA-Seq,50,678300350,PRJNA429735,SAMN08358247,284895784,Dendritic cells,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX3556889,GSM2932522,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:32,1,GSM2932522,CD45+ MHCII+ CD11c+ CD8+ CD4-,Splenic,SRP128986,C57BL/6J,Splenic
SRR6466941,6 weeks old,RNA-Seq,50,760852600,PRJNA429735,SAMN08358246,331228837,Dendritic cells,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX3556890,GSM2932523,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:24,1,GSM2932523,CD45+ MHCII+ CD11c+ CD8+ CD4-,Splenic,SRP128986,C57BL/6J,Splenic
SRR6466942,6 weeks old,RNA-Seq,50,834981450,PRJNA429735,SAMN08358245,362136349,Dendritic cells,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX3556891,GSM2932524,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:26,1,GSM2932524,CD45lo CD11b+,Splenic,SRP128986,C57BL/6J,Splenic
SRR6466943,6 weeks old,RNA-Seq,50,573761100,PRJNA429735,SAMN08358244,241125742,Dendritic cells,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX3556892,GSM2932525,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:33,1,GSM2932525,CD45lo CD11b+,Splenic,SRP128986,C57BL/6J,Splenic
SRR6466944,6 weeks old,RNA-Seq,50,486041900,PRJNA429735,SAMN08358243,204878748,Stromal Cells,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX3556893,GSM2932526,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:30,1,GSM2932526,CD45-Ly51loMHC-IIhiEPCAMhi,Thymus,SRP128986,C57BL/6J,Thymus
SRR6466945,6 weeks old,RNA-Seq,50,578455100,PRJNA429735,SAMN08358242,251963115,Stromal Cells,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX3556894,GSM2932527,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:26,1,GSM2932527,CD45-Ly51loMHC-IIhiEPCAMhi,Thymus,SRP128986,C57BL/6J,Thymus
SRR6466946,6 weeks old,RNA-Seq,50,542904050,PRJNA429735,SAMN08358241,231306263,Stromal Cells,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX3556895,GSM2932528,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,1/23/2018 3:30,1/12/2018 12:25,1,GSM2932528,CD45- CD31- CD35- MadCAM- PDPN+ CD140+,Subcutaneous Lymph Node,SRP128986,C57BL/6J,Subcutaneous Lymph Node
